CustomerID,Recency,Frequency,Monetary,Recency_segment,Frequency_segment,Monetary_segment,Campanha,CAC,ROI,Lucro_Cliente,Ultima_Compra,Dias_Sem_Comprar,Grupo
12423.0,1,8,1634.31,0-50,5-10,0-2000,CMP041,1369.84,0.1931,264.47,2011-12-08,1,Regular
12424.0,163,2,1760.96,150-200,0-5,0-2000,CMP022,435.33,3.0451,1325.63,2011-06-29,163,Ocasional
12425.0,78,1,777.2,50-100,0-5,0-2000,CMP008,409.05,0.9,368.15,2011-09-22,78,Regular
12426.0,195,1,510.73,150-200,0-5,0-2000,CMP015,458.19,0.1147,52.54,2011-05-28,195,Ocasional
12427.0,22,3,699.8000000000001,0-50,0-5,0-2000,CMP011,150.3,3.656,549.5,2011-11-17,22,Regular
12428.0,26,8,6405.26,0-50,5-10,6000-8000,CMP046,1856.27,2.4506,4548.99,2011-11-13,26,Engajado
12429.0,9,4,3388.4,0-50,0-5,2000-4000,CMP042,1705.66,0.9866,1682.74,2011-11-30,9,Regular
12430.0,43,1,216.4,0-50,0-5,0-2000,CMP019,593.24,-0.6352,-376.84,2011-10-27,43,Regular
12431.0,36,15,6314.95,0-50,15-20,6000-8000,CMP044,2078.39,2.0384,4236.56,2011-11-03,36,Engajado
12432.0,43,4,4359.32,0-50,0-5,4000-6000,CMP042,1705.66,1.5558,2653.66,2011-10-27,43,Regular
12433.0,1,7,13375.87,0-50,5-10,10000-12000,CMP018,643.37,19.7903,12732.5,2011-12-08,1,Engajado
12434.0,85,2,806.14,50-100,0-5,0-2000,CMP038,1347.91,-0.4019,-541.77,2011-09-15,85,Regular
12435.0,80,2,7829.89,50-100,0-5,6000-8000,CMP034,1403.19,4.5801,6426.7,2011-09-20,80,Regular
12436.0,100,1,429.01,100-150,0-5,0-2000,CMP032,842.78,-0.491,-413.77,2011-08-31,100,Regular
12437.0,2,18,4447.41,0-50,15-20,4000-6000,CMP045,1492.9,1.979,2954.51,2011-12-07,2,Engajado
12438.0,14,2,2466.85,0-50,0-5,2000-4000,CMP027,863.77,1.8559,1603.08,2011-11-25,14,Regular
12441.0,367,1,155.55,350-400,0-5,0-2000,CMP003,367.99,-0.5773,-212.44,2010-12-07,367,Ocasional
12442.0,3,1,144.06,0-50,0-5,0-2000,CMP007,161.77,-0.1095,-17.71,2011-12-06,3,Regular
12444.0,21,5,4085.46,0-50,5-10,4000-6000,CMP030,753.44,4.4224,3332.02,2011-11-18,21,Regular
12445.0,22,1,77.4,0-50,0-5,0-2000,CMP034,1403.19,-0.9448,-1325.79,2011-11-17,22,Regular
12446.0,58,1,1002.31,50-100,0-5,0-2000,CMP035,1415.25,-0.2918,-412.94,2011-10-12,58,Regular
12447.0,243,1,431.49,200-250,0-5,0-2000,CMP001,258.61,0.6685,172.88,2011-04-10,243,Ocasional
12448.0,44,1,365.45,0-50,0-5,0-2000,CMP022,435.33,-0.1605,-69.88,2011-10-26,44,Regular
12449.0,22,4,3596.29,0-50,0-5,2000-4000,CMP030,753.44,3.7732,2842.85,2011-11-17,22,Regular
12450.0,156,2,197.88,150-200,0-5,0-2000,CMP006,191.74,0.032,6.14,2011-07-06,156,Ocasional
12451.0,11,5,8995.52,0-50,5-10,8000-10000,CMP012,440.78,19.4082,8554.74,2011-11-28,11,Engajado
12452.0,17,1,348.57,0-50,0-5,0-2000,CMP017,524.29,-0.3352,-175.72,2011-11-22,17,Regular
12453.0,134,1,707.09,100-150,0-5,0-2000,CMP043,1290.94,-0.4523,-583.85,2011-07-28,134,Regular
12454.0,56,1,3528.34,50-100,0-5,2000-4000,CMP027,863.77,3.0848,2664.57,2011-10-14,56,Regular
12455.0,73,5,2339.86,50-100,5-10,2000-4000,CMP033,766.84,2.0513,1573.02,2011-09-27,73,Regular
12456.0,44,3,2581.04,0-50,0-5,2000-4000,CMP039,1875.82,0.376,705.22,2011-10-26,44,Regular
12457.0,66,6,2043.23,50-100,5-10,2000-4000,CMP028,1090.24,0.8741,952.99,2011-10-04,66,Regular
12458.0,71,2,787.4,50-100,0-5,0-2000,CMP046,1856.27,-0.5758,-1068.87,2011-09-29,71,Regular
12461.0,155,1,626.88,150-200,0-5,0-2000,CMP045,1492.9,-0.5801,-866.02,2011-07-07,155,Ocasional
12462.0,19,2,937.59,0-50,0-5,0-2000,CMP014,474.66,0.9753,462.93,2011-11-20,19,Regular
12463.0,53,4,1200.78,50-100,0-5,0-2000,CMP022,435.33,1.7583,765.45,2011-10-17,53,Regular
12464.0,10,8,957.05,0-50,5-10,0-2000,CMP015,458.19,1.0888,498.86,2011-11-29,10,Regular
12465.0,17,2,682.19,0-50,0-5,0-2000,CMP015,458.19,0.4889,224.0,2011-11-22,17,Regular
12468.0,188,2,657.5400000000001,150-200,0-5,0-2000,CMP004,327.19,1.0097,330.35,2011-06-04,188,Ocasional
12471.0,2,27,17388.65,0-50,25-30,10000-12000,CMP036,1302.05,12.3548,16086.6,2011-12-07,2,Engajado
12472.0,32,7,6068.11,0-50,5-10,6000-8000,CMP033,766.84,6.9131,5301.27,2011-11-07,32,Engajado
12473.0,54,3,2585.73,50-100,0-5,2000-4000,CMP005,191.74,12.4856,2393.99,2011-10-16,54,Regular
12474.0,17,18,6694.09,0-50,15-20,6000-8000,CMP025,1048.37,5.3852,5645.72,2011-11-22,17,Engajado
12475.0,54,1,669.38,50-100,0-5,0-2000,CMP040,1656.14,-0.5958,-986.76,2011-10-16,54,Regular
12476.0,16,11,5898.42,0-50,10-15,4000-6000,CMP023,517.75,10.3924,5380.67,2011-11-23,16,Engajado
12477.0,23,6,13219.74,0-50,5-10,10000-12000,CMP014,474.66,26.851,12745.08,2011-11-16,23,Engajado
12478.0,4,1,545.99,0-50,0-5,0-2000,CMP021,690.41,-0.2092,-144.42,2011-12-05,4,Regular
12479.0,11,1,473.2,0-50,0-5,0-2000,CMP047,1540.55,-0.6928,-1067.35,2011-11-28,11,Regular
12480.0,28,4,2885.63,0-50,0-5,2000-4000,CMP024,557.84,4.1729,2327.79,2011-11-11,28,Regular
12481.0,23,10,5003.82,0-50,10-15,4000-6000,CMP038,1347.91,2.7123,3655.91,2011-11-16,23,Engajado
12483.0,17,8,1910.98,0-50,5-10,0-2000,CMP041,1369.84,0.395,541.14,2011-11-22,17,Regular
12484.0,35,4,3939.32,0-50,0-5,2000-4000,CMP023,517.75,6.6085,3421.57,2011-11-04,35,Regular
12488.0,10,3,1244.66,0-50,0-5,0-2000,CMP029,1146.55,0.0856,98.11,2011-11-29,10,Regular
12489.0,336,1,298.93,300-350,0-5,0-2000,CMP010,360.67,-0.1712,-61.74,2011-01-07,336,Ocasional
12490.0,5,10,4859.93,0-50,10-15,4000-6000,CMP037,1534.16,2.1678,3325.77,2011-12-04,5,Engajado
12491.0,39,1,424.4,0-50,0-5,0-2000,CMP026,1285.33,-0.6698,-860.93,2011-10-31,39,Regular
12492.0,63,2,227.21,50-100,0-5,0-2000,CMP015,458.19,-0.5041,-230.98,2011-10-07,63,Regular
12493.0,166,2,379.74,150-200,0-5,0-2000,CMP009,327.94,0.158,51.8,2011-06-26,166,Ocasional
12494.0,16,7,1084.1,0-50,5-10,0-2000,CMP033,766.84,0.4137,317.26,2011-11-23,16,Regular
12497.0,82,1,953.1,50-100,0-5,0-2000,CMP016,459.04,1.0763,494.06,2011-09-18,82,Regular
12498.0,21,3,349.70000000000005,0-50,0-5,0-2000,CMP012,440.78,-0.2066,-91.08,2011-11-18,21,Regular
12500.0,23,11,4059.82,0-50,10-15,4000-6000,CMP004,327.19,11.4081,3732.63,2011-11-16,23,Engajado
12501.0,337,1,2025.39,300-350,0-5,2000-4000,CMP035,1415.25,0.4311,610.14,2011-01-06,337,Ocasional
12502.0,96,5,2995.87,50-100,5-10,2000-4000,CMP038,1347.91,1.2226,1647.96,2011-09-04,96,Regular
12504.0,18,2,428.05,0-50,0-5,0-2000,CMP002,434.92,-0.0158,-6.87,2011-11-21,18,Regular
12506.0,233,1,73.5,200-250,0-5,0-2000,CMP014,474.66,-0.8452,-401.16,2011-04-20,233,Ocasional
12507.0,134,3,1052.81,100-150,0-5,0-2000,CMP013,809.51,0.3006,243.3,2011-07-28,134,Regular
12508.0,26,2,397.88,0-50,0-5,0-2000,CMP026,1285.33,-0.6904,-887.45,2011-11-13,26,Regular
12509.0,284,1,158.5,250-300,0-5,0-2000,CMP005,191.74,-0.1734,-33.24,2011-02-28,284,Ocasional
12510.0,143,2,814.5699999999999,100-150,0-5,0-2000,CMP028,1090.24,-0.2529,-275.67,2011-07-19,143,Regular
12512.0,66,2,132.18,50-100,0-5,0-2000,CMP011,150.3,-0.1206,-18.12,2011-10-04,66,Regular
12513.0,113,1,558.29,100-150,0-5,0-2000,CMP042,1705.66,-0.6727,-1147.37,2011-08-18,113,Regular
12514.0,267,1,1017.68,250-300,0-5,0-2000,CMP010,360.67,1.8216,657.01,2011-03-17,267,Ocasional
12515.0,353,1,278.7,350-400,0-5,0-2000,CMP010,360.67,-0.2273,-81.97,2010-12-21,353,Ocasional
12516.0,78,2,1186.06,50-100,0-5,0-2000,CMP009,327.94,2.6167,858.12,2011-09-22,78,Regular
12517.0,28,4,2301.6,0-50,0-5,2000-4000,CMP046,1856.27,0.2399,445.33,2011-11-11,28,Regular
12518.0,1,5,1840.89,0-50,5-10,0-2000,CMP045,1492.9,0.2331,347.99,2011-12-08,1,Regular
12519.0,64,1,276.84000000000003,50-100,0-5,0-2000,CMP007,161.77,0.7113,115.07,2011-10-06,64,Regular
12520.0,79,5,2346.26,50-100,5-10,2000-4000,CMP038,1347.91,0.7407,998.35,2011-09-21,79,Regular
12521.0,143,1,545.68,100-150,0-5,0-2000,CMP032,842.78,-0.3525,-297.1,2011-07-19,143,Ocasional
12522.0,39,2,156.72,0-50,0-5,0-2000,CMP015,458.19,-0.658,-301.47,2011-10-31,39,Regular
12523.0,19,11,1699.77,0-50,10-15,0-2000,CMP033,766.84,1.2166,932.93,2011-11-20,19,Regular
12524.0,9,8,3945.72,0-50,5-10,2000-4000,CMP024,557.84,6.0732,3387.88,2011-11-30,9,Regular
12526.0,1,3,1172.66,0-50,0-5,0-2000,CMP009,327.94,2.5758,844.72,2011-12-08,1,Regular
12527.0,82,3,330.71000000000004,50-100,0-5,0-2000,CMP039,1875.82,-0.8237,-1545.11,2011-09-18,82,Regular
12528.0,9,6,1645.48,0-50,5-10,0-2000,CMP045,1492.9,0.1022,152.58,2011-11-30,9,Regular
12530.0,60,4,1500.28,50-100,0-5,0-2000,CMP026,1285.33,0.1672,214.95,2011-10-10,60,Regular
12531.0,15,1,125.22,0-50,0-5,0-2000,CMP010,360.67,-0.6528,-235.45,2011-11-24,15,Regular
12532.0,30,1,313.83000000000004,0-50,0-5,0-2000,CMP017,524.29,-0.4014,-210.46,2011-11-09,30,Regular
12534.0,131,1,981.18,100-150,0-5,0-2000,CMP029,1146.55,-0.1442,-165.37,2011-07-31,131,Regular
12535.0,92,2,716.35,50-100,0-5,0-2000,CMP039,1875.82,-0.6181,-1159.47,2011-09-08,92,Regular
12536.0,59,1,4279.71,50-100,0-5,4000-6000,CMP045,1492.9,1.8667,2786.81,2011-10-11,59,Regular
12538.0,29,1,363.95,0-50,0-5,0-2000,CMP031,1157.44,-0.6856,-793.49,2011-11-10,29,Regular
12539.0,22,4,5568.35,0-50,0-5,4000-6000,CMP037,1534.16,2.6296,4034.19,2011-11-17,22,Regular
12540.0,20,17,11580.24,0-50,15-20,10000-12000,CMP009,327.94,34.3121,11252.3,2011-11-19,20,Engajado
12541.0,30,3,841.18,0-50,0-5,0-2000,CMP011,150.3,4.5967,690.88,2011-11-09,30,Regular
12544.0,36,1,316.7,0-50,0-5,0-2000,CMP039,1875.82,-0.8312,-1559.12,2011-11-03,36,Regular
12545.0,75,2,832.39,50-100,0-5,0-2000,CMP025,1048.37,-0.206,-215.98,2011-09-25,75,Regular
12546.0,47,2,1021.5,0-50,0-5,0-2000,CMP001,258.61,2.95,762.89,2011-10-23,47,Regular
12547.0,198,2,151.8,150-200,0-5,0-2000,CMP003,367.99,-0.5875,-216.19,2011-05-25,198,Ocasional
12548.0,166,1,67.19999999999999,150-200,0-5,0-2000,CMP022,435.33,-0.8456,-368.13,2011-06-26,166,Ocasional
12550.0,79,1,824.83,50-100,0-5,0-2000,CMP001,258.61,2.1895,566.22,2011-09-21,79,Regular
12551.0,358,1,168.0,350-400,0-5,0-2000,CMP005,191.74,-0.1238,-23.74,2010-12-16,358,Ocasional
12552.0,40,1,317.82,0-50,0-5,0-2000,CMP023,517.75,-0.3862,-199.93,2011-10-30,40,Regular
12553.0,8,10,3278.28,0-50,10-15,2000-4000,CMP039,1875.82,0.7477,1402.46,2011-12-01,8,Regular
12556.0,50,2,599.56,50-100,0-5,0-2000,CMP027,863.77,-0.3059,-264.21,2011-10-20,50,Regular
12557.0,16,5,11990.96,0-50,5-10,10000-12000,CMP022,435.33,26.5445,11555.63,2011-11-23,16,Engajado
12558.0,8,1,269.96,0-50,0-5,0-2000,CMP025,1048.37,-0.7425,-778.41,2011-12-01,8,Regular
12559.0,311,2,525.71,300-350,0-5,0-2000,CMP013,809.51,-0.3506,-283.8,2011-02-01,311,Ocasional
12560.0,5,2,1918.01,0-50,0-5,0-2000,CMP027,863.77,1.2205,1054.24,2011-12-04,5,Regular
12561.0,303,1,238.85,300-350,0-5,0-2000,CMP028,1090.24,-0.7809,-851.39,2011-02-09,303,Ocasional
12562.0,8,7,3385.74,0-50,5-10,2000-4000,CMP037,1534.16,1.2069,1851.58,2011-12-01,8,Regular
12564.0,261,1,402.9,250-300,0-5,0-2000,CMP034,1403.19,-0.7129,-1000.29,2011-03-23,261,Ocasional
12565.0,289,1,145.92000000000002,250-300,0-5,0-2000,CMP021,690.41,-0.7886,-544.49,2011-02-23,289,Ocasional
12566.0,86,1,297.65,50-100,0-5,0-2000,CMP016,459.04,-0.3516,-161.39,2011-09-14,86,Regular
12567.0,23,10,8609.28,0-50,10-15,8000-10000,CMP009,327.94,25.2526,8281.34,2011-11-16,23,Engajado
12569.0,2,32,3152.69,0-50,,2000-4000,CMP028,1090.24,1.8917,2062.45,2011-12-07,2,Engajado
12571.0,40,2,519.61,0-50,0-5,0-2000,CMP014,474.66,0.0947,44.95,2011-10-30,40,Regular
12572.0,9,2,912.42,0-50,0-5,0-2000,CMP014,474.66,0.9223,437.76,2011-11-30,9,Regular
12573.0,227,1,160.54000000000002,200-250,0-5,0-2000,CMP046,1856.27,-0.9135,-1695.73,2011-04-26,227,Ocasional
12574.0,316,1,182.45,300-350,0-5,0-2000,CMP011,150.3,0.2139,32.15,2011-01-27,316,Ocasional
12576.0,36,5,1315.83,0-50,5-10,0-2000,CMP038,1347.91,-0.0238,-32.08,2011-11-03,36,Regular
12577.0,35,3,622.65,0-50,0-5,0-2000,CMP026,1285.33,-0.5156,-662.68,2011-11-04,35,Regular
12578.0,21,2,2402.51,0-50,0-5,2000-4000,CMP042,1705.66,0.4086,696.85,2011-11-18,21,Regular
12579.0,78,1,386.42,50-100,0-5,0-2000,CMP022,435.33,-0.1124,-48.91,2011-09-22,78,Regular
12580.0,247,1,379.7,200-250,0-5,0-2000,CMP024,557.84,-0.3193,-178.14,2011-04-06,247,Ocasional
12581.0,40,1,179.71,0-50,0-5,0-2000,CMP014,474.66,-0.6214,-294.95,2011-10-30,40,Regular
12582.0,239,2,351.36,200-250,0-5,0-2000,CMP012,440.78,-0.2029,-89.42,2011-04-14,239,Ocasional
12583.0,3,15,6705.38,0-50,15-20,6000-8000,CMP040,1656.14,3.0488,5049.24,2011-12-06,3,Engajado
12584.0,4,9,2254.15,0-50,5-10,2000-4000,CMP025,1048.37,1.1501,1205.78,2011-12-05,4,Regular
12585.0,234,2,1824.1,200-250,0-5,0-2000,CMP003,367.99,3.9569,1456.11,2011-04-19,234,Ocasional
12586.0,17,1,196.94000000000003,0-50,0-5,0-2000,CMP020,517.27,-0.6193,-320.33,2011-11-22,17,Regular
12587.0,8,1,104.0,0-50,0-5,0-2000,CMP005,191.74,-0.4576,-87.74,2011-12-01,8,Regular
12588.0,39,1,174.89999999999998,0-50,0-5,0-2000,CMP044,2078.39,-0.9158,-1903.49,2011-10-31,39,Regular
12589.0,29,2,574.68,0-50,0-5,0-2000,CMP044,2078.39,-0.7235,-1503.71,2011-11-10,29,Regular
12590.0,211,1,9341.26,200-250,0-5,8000-10000,CMP046,1856.27,4.0323,7484.99,2011-05-12,211,Engajado
12591.0,317,1,368.85,300-350,0-5,0-2000,CMP018,643.37,-0.4267,-274.52,2011-01-26,317,Ocasional
12592.0,92,2,401.6,50-100,0-5,0-2000,CMP002,434.92,-0.0766,-33.32,2011-09-08,92,Regular
12593.0,109,3,382.1,100-150,0-5,0-2000,CMP042,1705.66,-0.776,-1323.56,2011-08-22,109,Regular
12594.0,38,9,3208.2200000000003,0-50,5-10,2000-4000,CMP030,753.44,3.2581,2454.78,2011-11-01,38,Regular
12596.0,51,2,450.27,50-100,0-5,0-2000,CMP045,1492.9,-0.6984,-1042.63,2011-10-19,51,Regular
12597.0,19,4,3195.22,0-50,0-5,2000-4000,CMP047,1540.55,1.0741,1654.67,2011-11-20,19,Regular
12598.0,10,7,2807.08,0-50,5-10,2000-4000,CMP044,2078.39,0.3506,728.69,2011-11-29,10,Regular
12599.0,29,7,888.58,0-50,5-10,0-2000,CMP015,458.19,0.9393,430.39,2011-11-10,29,Regular
12600.0,29,10,2311.04,0-50,10-15,2000-4000,CMP029,1146.55,1.0156,1164.49,2011-11-10,29,Regular
12601.0,190,5,487.06,150-200,5-10,0-2000,CMP034,1403.19,-0.6529,-916.13,2011-06-02,190,Ocasional
12602.0,59,1,153.12,50-100,0-5,0-2000,CMP009,327.94,-0.5331,-174.82,2011-10-11,59,Regular
12603.0,22,1,613.1999999999999,0-50,0-5,0-2000,CMP011,150.3,3.0798,462.9,2011-11-17,22,Regular
12604.0,79,2,236.18,50-100,0-5,0-2000,CMP015,458.19,-0.4845,-222.01,2011-09-21,79,Regular
12607.0,60,1,1579.51,50-100,0-5,0-2000,CMP042,1705.66,-0.074,-126.15,2011-10-10,60,Regular
12609.0,78,3,964.85,50-100,0-5,0-2000,CMP028,1090.24,-0.115,-125.39,2011-09-22,78,Regular
12610.0,23,4,1747.54,0-50,0-5,0-2000,CMP035,1415.25,0.2348,332.29,2011-11-16,23,Regular
12611.0,52,1,1193.32,50-100,0-5,0-2000,CMP009,327.94,2.6388,865.38,2011-10-18,52,Regular
12612.0,74,1,668.04,50-100,0-5,0-2000,CMP026,1285.33,-0.4803,-617.29,2011-09-26,74,Regular
12613.0,57,4,3092.38,50-100,0-5,2000-4000,CMP048,1728.05,0.7895,1364.33,2011-10-13,57,Regular
12614.0,278,1,315.6,250-300,0-5,0-2000,CMP010,360.67,-0.125,-45.07,2011-03-06,278,Ocasional
12615.0,2,4,2093.19,0-50,0-5,2000-4000,CMP033,766.84,1.7296,1326.35,2011-12-07,2,Regular
12616.0,95,2,641.3,50-100,0-5,0-2000,CMP037,1534.16,-0.582,-892.86,2011-09-05,95,Regular
12617.0,29,1,352.98,0-50,0-5,0-2000,CMP030,753.44,-0.5315,-400.46,2011-11-10,29,Regular
12618.0,22,1,137.31,0-50,0-5,0-2000,CMP024,557.84,-0.7539,-420.53,2011-11-17,22,Regular
12619.0,16,8,2945.56,0-50,5-10,2000-4000,CMP039,1875.82,0.5703,1069.74,2011-11-23,16,Regular
12620.0,15,3,1303.41,0-50,0-5,0-2000,CMP017,524.29,1.486,779.12,2011-11-24,15,Regular
12621.0,2,20,12411.67,0-50,20-25,10000-12000,CMP026,1285.33,8.6564,11126.34,2011-12-07,2,Engajado
12622.0,232,1,162.1,200-250,0-5,0-2000,CMP033,766.84,-0.7886,-604.74,2011-04-21,232,Ocasional
12623.0,276,1,269.1,250-300,0-5,0-2000,CMP033,766.84,-0.6491,-497.74,2011-03-08,276,Ocasional
12624.0,106,2,569.13,100-150,0-5,0-2000,CMP036,1302.05,-0.5629,-732.92,2011-08-25,106,Regular
12625.0,212,2,2413.82,200-250,0-5,2000-4000,CMP046,1856.27,0.3004,557.55,2011-05-11,212,Ocasional
12626.0,23,9,5954.4800000000005,0-50,5-10,4000-6000,CMP033,766.84,6.765,5187.64,2011-11-16,23,Engajado
12627.0,11,6,4082.53,0-50,5-10,4000-6000,CMP033,766.84,4.3238,3315.69,2011-11-28,11,Regular
12628.0,4,3,732.46,0-50,0-5,0-2000,CMP031,1157.44,-0.3672,-424.98,2011-12-05,4,Regular
